Date,Price,Open,High,Low,Change %,diff_1,label
2016-05-26,1.1194,1.1154,1.1218,1.1144,0.35%,0.0039000000000000146,2.0
2016-05-27,1.1115,1.1193,1.1201,1.1107,-0.71%,-0.007900000000000018,1.0
2016-05-30,1.1147,1.1117,1.1149,1.1098,0.29%,0.0032000000000000917,2.0
2016-05-31,1.1132,1.1138,1.1176,1.1123,-0.13%,-0.0015000000000000568,0.0
2016-06-01,1.1188,1.1133,1.1198,1.1114,0.50%,0.005600000000000049,2.0
2016-06-02,1.1151,1.1189,1.1221,1.1142,-0.33%,-0.0037000000000000366,1.0
2016-06-03,1.1367,1.1152,1.1377,1.1136,1.94%,0.021600000000000064,2.0
2016-06-06,1.1355,1.1353,1.1395,1.1328,-0.11%,-0.0012000000000000899,0.0
2016-06-07,1.1358,1.1355,1.1382,1.1338,0.03%,0.00029999999999996696,0.0
2016-06-08,1.1394,1.1358,1.1412,1.1349,0.32%,0.0036000000000000476,2.0
2016-06-09,1.1316,1.1399,1.1417,1.1305,-0.68%,-0.007800000000000029,1.0
2016-06-10,1.1251,1.1317,1.1329,1.1245,-0.57%,-0.00649999999999995,1.0
2016-06-13,1.1292,1.1253,1.1304,1.1233,0.36%,0.0040999999999999925,2.0
2016-06-14,1.1208,1.1293,1.1304,1.1188,-0.74%,-0.008399999999999963,1.0
2016-06-15,1.1259,1.1205,1.1299,1.119,0.46%,0.005099999999999882,2.0
2016-06-16,1.1226,1.126,1.1298,1.1132,-0.29%,-0.0032999999999998586,1.0
2016-06-17,1.1277,1.1226,1.1299,1.1221,0.45%,0.005099999999999882,2.0
2016-06-20,1.1314,1.1285,1.1386,1.1284,0.33%,0.0037000000000000366,2.0
2016-06-21,1.1242,1.1312,1.1351,1.1241,-0.64%,-0.007199999999999873,1.0
2016-06-22,1.1297,1.1242,1.1339,1.1236,0.49%,0.005499999999999838,2.0
2016-06-23,1.1389,1.1298,1.1424,1.1296,0.81%,0.009200000000000097,2.0
2016-06-24,1.1117,1.1392,1.1434,1.0911,-2.39%,-0.027200000000000113,1.0
2016-06-27,1.1026,1.1072,1.1087,1.0972,-0.82%,-0.009099999999999886,1.0
2016-06-28,1.1067,1.1025,1.1111,1.1008,0.37%,0.0040999999999999925,2.0
2016-06-29,1.1125,1.1065,1.1131,1.1048,0.52%,0.005800000000000027,2.0
2016-06-30,1.1105,1.1124,1.1157,1.1023,-0.18%,-0.0020000000000000018,1.0
2016-07-01,1.1136,1.1104,1.1169,1.107,0.28%,0.0030999999999998806,2.0
2016-07-04,1.1156,1.1142,1.1166,1.1097,0.18%,0.0020000000000000018,2.0
2016-07-05,1.1076,1.1154,1.1184,1.1059,-0.72%,-0.008000000000000007,1.0
2016-07-06,1.1099,1.1075,1.1111,1.1029,0.21%,0.0023000000000001908,2.0
2016-07-07,1.1063,1.1101,1.1113,1.1053,-0.32%,-0.0036000000000000476,1.0
2016-07-08,1.1054,1.1063,1.1115,1.1002,-0.08%,-0.0009000000000001229,0.0
2016-07-11,1.1058,1.1052,1.1076,1.1016,0.04%,0.00039999999999995595,0.0
2016-07-12,1.1059,1.1058,1.1128,1.1051,0.01%,0.00010000000000021103,0.0
2016-07-13,1.109,1.1061,1.1121,1.1043,0.28%,0.0030999999999998806,2.0
2016-07-14,1.112,1.1089,1.1166,1.1085,0.27%,0.0030000000000001137,2.0
2016-07-15,1.1036,1.1118,1.115,1.1023,-0.76%,-0.008400000000000185,1.0
2016-07-18,1.1074,1.1043,1.1086,1.1038,0.34%,0.0038000000000000256,2.0
2016-07-19,1.1022,1.1073,1.1086,1.0999,-0.47%,-0.005199999999999871,1.0
2016-07-20,1.1015,1.102,1.1032,1.0981,-0.06%,-0.000700000000000145,0.0
2016-07-21,1.1025,1.1013,1.106,1.0981,0.09%,0.001000000000000112,0.0
2016-07-22,1.0976,1.103,1.1043,1.0954,-0.44%,-0.0049000000000001265,1.0
2016-07-25,1.0994,1.0972,1.1002,1.0954,0.16%,0.0018000000000000238,0.0
2016-07-26,1.0987,1.0997,1.1031,1.0978,-0.06%,-0.0006999999999999229,0.0
2016-07-27,1.1058,1.0986,1.1068,1.0963,0.65%,0.007099999999999884,2.0
2016-07-28,1.1075,1.1058,1.1119,1.1048,0.15%,0.0017000000000000348,0.0
2016-07-29,1.1174,1.1079,1.12,1.1071,0.89%,0.00990000000000002,2.0
2016-08-01,1.1162,1.1177,1.1187,1.1157,-0.11%,-0.0011999999999998678,0.0
2016-08-02,1.1227,1.1162,1.1235,1.1155,0.58%,0.00649999999999995,2.0
2016-08-03,1.1149,1.1224,1.1233,1.1139,-0.69%,-0.007800000000000029,1.0
2016-08-04,1.113,1.1149,1.1158,1.1114,-0.17%,-0.0019000000000000128,0.0
2016-08-05,1.1086,1.1128,1.1162,1.1044,-0.40%,-0.0043999999999999595,1.0
2016-08-08,1.1092,1.1088,1.1107,1.1073,0.05%,0.0005999999999999339,0.0
2016-08-09,1.1119,1.109,1.1125,1.107,0.24%,0.0027000000000001467,2.0
2016-08-10,1.1176,1.1117,1.1193,1.1103,0.51%,0.005699999999999816,2.0
2016-08-11,1.1137,1.1175,1.1194,1.1133,-0.35%,-0.0039000000000000146,1.0
2016-08-12,1.1161,1.1139,1.1224,1.113,0.22%,0.0024000000000001798,2.0
2016-08-15,1.1184,1.1162,1.1203,1.1153,0.21%,0.0022999999999999687,2.0
2016-08-16,1.1278,1.1182,1.1324,1.1175,0.84%,0.009399999999999853,2.0
2016-08-17,1.1288,1.1279,1.1317,1.1241,0.09%,0.001000000000000112,0.0
2016-08-18,1.1354,1.1293,1.1367,1.1283,0.58%,0.006599999999999939,2.0
2016-08-19,1.1326,1.1351,1.1363,1.1303,-0.25%,-0.0027999999999999137,1.0
2016-08-22,1.1319,1.1306,1.1334,1.1273,-0.06%,-0.000700000000000145,0.0
2016-08-23,1.1306,1.1321,1.1357,1.1302,-0.11%,-0.0012999999999998568,0.0
2016-08-24,1.1263,1.1305,1.1315,1.1244,-0.38%,-0.0042999999999999705,1.0
2016-08-25,1.1283,1.1266,1.1301,1.1258,0.18%,0.0020000000000000018,2.0
2016-08-26,1.1198,1.1284,1.1343,1.118,-0.75%,-0.008500000000000174,1.0
2016-08-29,1.1189,1.1192,1.1208,1.1157,-0.08%,-0.0008999999999999009,0.0
2016-08-30,1.1143,1.1189,1.1198,1.113,-0.41%,-0.0045999999999999375,1.0
2016-08-31,1.1158,1.1143,1.1167,1.1123,0.13%,0.0014999999999998348,0.0
2016-09-01,1.1198,1.1157,1.1207,1.1128,0.36%,0.0040000000000000036,2.0
2016-09-02,1.1156,1.1197,1.1254,1.1151,-0.38%,-0.0041999999999999815,1.0
2016-09-05,1.1147,1.1153,1.1185,1.114,-0.08%,-0.0008999999999999009,0.0
2016-09-06,1.1256,1.1147,1.1267,1.114,0.98%,0.01089999999999991,2.0
2016-09-07,1.1239,1.1255,1.1271,1.1228,-0.15%,-0.0017000000000000348,0.0
2016-09-08,1.1261,1.124,1.1329,1.1234,0.20%,0.002200000000000202,2.0
2016-09-09,1.1233,1.1262,1.1288,1.12,-0.25%,-0.0028000000000001357,1.0
2016-09-12,1.1234,1.1232,1.1269,1.1211,0.01%,9.999999999998899e-05,0.0
2016-09-13,1.122,1.1236,1.1262,1.1203,-0.12%,-0.0013999999999998458,0.0
2016-09-14,1.125,1.1216,1.1274,1.1208,0.27%,0.0029999999999998916,2.0
2016-09-15,1.1244,1.1249,1.1286,1.122,-0.05%,-0.0005999999999999339,0.0
2016-09-16,1.1155,1.1244,1.1256,1.1147,-0.79%,-0.00890000000000013,1.0
2016-09-19,1.1174,1.1161,1.1198,1.1147,0.17%,0.0019000000000000128,0.0
2016-09-20,1.1155,1.1178,1.1216,1.1147,-0.17%,-0.0019000000000000128,0.0
2016-09-21,1.1189,1.1152,1.12,1.1123,0.30%,0.0034000000000000696,2.0
2016-09-22,1.1208,1.1193,1.1258,1.1181,0.17%,0.0019000000000000128,0.0
2016-09-23,1.1226,1.1209,1.1244,1.1195,0.16%,0.0018000000000000238,0.0
2016-09-26,1.1254,1.1221,1.1279,1.122,0.25%,0.0027999999999999137,2.0
2016-09-27,1.1215,1.1253,1.1262,1.119,-0.35%,-0.0039000000000000146,1.0
2016-09-28,1.1216,1.1214,1.1238,1.1181,0.01%,9.999999999998899e-05,0.0
2016-09-29,1.1223,1.1217,1.1251,1.1197,0.06%,0.000700000000000145,0.0
2016-09-30,1.1241,1.1225,1.1253,1.1153,0.16%,0.0018000000000000238,0.0
2016-10-03,1.1211,1.1235,1.1245,1.1205,-0.27%,-0.0030000000000001137,1.0
2016-10-04,1.1204,1.121,1.124,1.1138,-0.06%,-0.0006999999999999229,0.0
2016-10-05,1.1206,1.1206,1.1237,1.1191,0.02%,0.00019999999999997797,0.0
2016-10-06,1.1151,1.1205,1.1214,1.1139,-0.49%,-0.00550000000000006,1.0
2016-10-07,1.1201,1.1151,1.1207,1.1103,0.45%,0.0050000000000001155,2.0
2016-10-10,1.1138,1.1196,1.1202,1.1128,-0.56%,-0.006300000000000194,1.0
2016-10-11,1.1054,1.1136,1.1144,1.1047,-0.75%,-0.008399999999999963,1.0
2016-10-12,1.1008,1.1053,1.1072,1.1003,-0.42%,-0.0045999999999999375,1.0
2016-10-13,1.1056,1.1004,1.1058,1.0983,0.44%,0.0047999999999999154,2.0
2016-10-14,1.0971,1.1056,1.1062,1.0968,-0.77%,-0.008499999999999952,1.0
2016-10-17,1.0999,1.0975,1.1011,1.0965,0.26%,0.0028000000000001357,2.0
2016-10-18,1.0981,1.1,1.1029,1.097,-0.16%,-0.0018000000000000238,0.0
2016-10-19,1.0974,1.0981,1.1006,1.0955,-0.06%,-0.000700000000000145,0.0
2016-10-20,1.093,1.0974,1.1041,1.0916,-0.40%,-0.0043999999999999595,1.0
2016-10-21,1.0884,1.0929,1.0933,1.0859,-0.42%,-0.0045999999999999375,1.0
2016-10-24,1.0883,1.0879,1.0903,1.0861,-0.01%,-9.999999999998899e-05,0.0
2016-10-25,1.0888,1.0882,1.0906,1.085,0.05%,0.0004999999999999449,0.0
2016-10-26,1.0909,1.0889,1.0947,1.0872,0.19%,0.0020999999999999908,2.0
2016-10-27,1.0897,1.0909,1.0945,1.0884,-0.11%,-0.0012000000000000899,0.0
2016-10-28,1.0987,1.0899,1.0995,1.0893,0.83%,0.009000000000000119,2.0
2016-10-31,1.0981,1.0986,1.0994,1.0936,-0.05%,-0.0005999999999999339,0.0
2016-11-01,1.1056,1.0981,1.1071,1.0958,0.68%,0.00749999999999984,2.0
2016-11-02,1.1097,1.1056,1.1126,1.1051,0.37%,0.0040999999999999925,2.0
2016-11-03,1.1105,1.1098,1.1128,1.1059,0.07%,0.0008000000000001339,0.0
2016-11-04,1.1138,1.1105,1.1146,1.108,0.30%,0.0032999999999998586,2.0
2016-11-07,1.104,1.1137,1.1139,1.1029,-0.88%,-0.009799999999999809,1.0
2016-11-08,1.1026,1.1042,1.107,1.1008,-0.13%,-0.0014000000000000679,0.0
2016-11-09,1.0909,1.1023,1.13,1.0903,-1.06%,-0.011700000000000044,1.0
2016-11-10,1.0893,1.0911,1.0958,1.0866,-0.15%,-0.0016000000000000458,0.0
2016-11-11,1.0856,1.0897,1.0929,1.0833,-0.34%,-0.0037000000000000366,1.0
2016-11-14,1.0737,1.085,1.0852,1.0709,-1.10%,-0.0118999999999998,1.0
2016-11-15,1.0722,1.0736,1.0817,1.0711,-0.14%,-0.0015000000000000568,0.0
2016-11-16,1.069,1.0724,1.0764,1.0667,-0.30%,-0.0032000000000000917,1.0
2016-11-17,1.0626,1.069,1.0746,1.0617,-0.60%,-0.006399999999999961,1.0
2016-11-18,1.0588,1.0625,1.0645,1.057,-0.36%,-0.0038000000000000256,1.0
2016-11-21,1.0629,1.0583,1.0652,1.0579,0.39%,0.0040999999999999925,2.0
2016-11-22,1.0626,1.0627,1.066,1.0583,-0.03%,-0.00029999999999996696,0.0
2016-11-23,1.056,1.0629,1.0646,1.0526,-0.62%,-0.006599999999999939,1.0
2016-11-24,1.0554,1.0554,1.0587,1.0517,-0.06%,-0.000600000000000156,0.0
2016-11-25,1.0587,1.0551,1.0631,1.0538,0.31%,0.0033000000000000806,2.0
2016-11-28,1.0615,1.0595,1.0686,1.0563,0.26%,0.0028000000000001357,2.0
2016-11-29,1.065,1.0615,1.0657,1.0565,0.33%,0.0034999999999998366,2.0
2016-11-30,1.0588,1.0649,1.0669,1.0554,-0.58%,-0.006199999999999983,1.0
2016-12-01,1.0662,1.059,1.067,1.0584,0.70%,0.007400000000000073,2.0
